After 1e+08 trials, here are the results:

Position        Last count
2               5266781
3               5258326
4               5262347
5               5260950
6               5264241
7               5269333
8               5266353
9               5262939
10              5257483
11              5261289
12              5258953
13              5265369
14              5264188
15              5270231
16              5264248
17              5262048
18              5262265
19              5256353
20              5266303
